N,m
7.162618207480668389e+02,9.746751638138737572e-01
7.099791133331860919e+02,9.708289955510737146e-01
7.047361281933023065e+02,9.268993838683295960e-01
7.034969265427482696e+02,9.459687386603782278e-01
7.055967255191586673e+02,9.324673891536223724e-01
7.157448165016137409e+02,9.620944539341945712e-01
7.203767002142211595e+02,9.728569353542153575e-01
7.143040197180955602e+02,9.795299855091499364e-01
7.146170499641980314e+02,9.519854723629472826e-01
7.146170499641980314e+02,9.519854723629472826e-01
7.182729856266607840e+02,9.744098013455952945e-01
7.113705984290471633e+02,9.468615573890887260e-01
7.118001991995439539e+02,9.701041810865516091e-01
7.091167997454100487e+02,9.506125215466001421e-01
7.074814609887200731e+02,9.424515947977772923e-01
7.182644594502760356e+02,9.749801567705558281e-01
7.199898468010264878e+02,9.683103638400240021e-01
7.203539516907075040e+02,9.491576566513215685e-01
7.207599336232954101e+02,9.621390066789368145e-01
7.200385840747824204e+02,9.665960424166769593e-01
7.255535414437546251e+02,9.840614776521552365e-01
7.255535414437546251e+02,9.840614776521552365e-01
7.298184691521065588e+02,9.636182208045843689e-01
7.350847937746636944e+02,9.795801924339155864e-01
7.363610067313816216e+02,9.660001405285794096e-01
7.321408976297473146e+02,9.989742114342002877e-01
7.366621127599576084e+02,9.939248272081471214e-01
7.471463808552194905e+02,1.008144290792861497e+00
7.355645580170927360e+02,9.610897574072435612e-01
7.308538559101561987e+02,9.887786112845905473e-01
7.283410672287769785e+02,9.885176107626328923e-01
7.279972148219187602e+02,9.682675783098774192e-01
7.279972148219187602e+02,9.682675783098774192e-01
7.250490673765344809e+02,9.930618182965175178e-01
7.226767014714529296e+02,9.756625901512074872e-01
7.258215476232984429e+02,9.788975053721132857e-01
7.275762137021540639e+02,9.542284288415507909e-01
7.313260142198297444e+02,9.559639639817445467e-01
7.345151302171186671e+02,9.897799576164694191e-01
7.335979517099360692e+02,9.703647681626976773e-01
7.364569372269119185e+02,9.956338787315849315e-01
7.478066383211031507e+02,1.012164260109373881e+00
7.414350755105213011e+02,9.907535623484295950e-01
7.414350755105213011e+02,9.907535623484295950e-01
7.413449370382567167e+02,9.766250661966409119e-01
7.322518918503042187e+02,9.936984954058916131e-01
7.292626341664733900e+02,9.836013179792029160e-01
7.290539311240191864e+02,9.775666214281225619e-01
7.290539311240191864e+02,9.775666214281225619e-01
7.276558701507243541e+02,9.705644685479669631e-01
7.267955049772830307e+02,9.841582571460103512e-01
7.267955049772830307e+02,9.841582571460103512e-01
7.370475993493295164e+02,9.774644330037147721e-01
7.308107753828636532e+02,9.924057169189418603e-01
7.239797037227078818e+02,9.563996790420010718e-01
